budget,genre,keyword,original_language,production,release_date,country,runtime,revenue,status,title,vote_average,vote_count
185000000,Adventure,saving the world,en,Lucasfilm,21-05-08,US,122,786636033,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,Adventure,tyrannosaurus rex,en,Walt Disney Pictures,14-11-15,US,93,331926147,Released,The Good Dinosaur,6.6,1736
185000000,Animation,scotland,en,Walt Disney Pictures,21-06-12,US,93,538983207,Released,Brave,6.7,4641
185000000,Action,sequel,en,Paramount Pictures,07-07-16,US,122,343471816,Released,Star Trek Beyond,6.6,2568
180000000,Animation,romantic comedy,en,Walt Disney Pictures,22-06-08,US,98,521311860,Released,WALL·E,7.8,6296
140000000,Action,ambassador,en,New Line Cinema,08-08-07,US,91,258022233,Released,Rush Hour 3,6.1,783
200000000,Action,civilization,en,Columbia Pictures,10-10-09,CA,158,769653595,Released,2012,5.6,4903
200000000,Animation,holiday,en,Walt Disney,04-11-09,US,96,325233863,Released,A Christmas Carol,6.6,1095
176000003,Science Fiction,jupiter,en,Village Roadshow Pictures,04-02-15,US,124,183987723,Released,Jupiter Ascending,5.2,2768
180000000,Action,africa,en,Village Roadshow Pictures,29-06-16,CA,109,356743061,Released,The Legend of Tarzan,5.5,2430
180000000,Adventure,saving the world,en,Walt Disney,07-12-05,GB,143,748806957,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,Science Fiction,mutant,en,Twentieth Century Fox Film Corporation,18-05-16,US,144,543934787,Released,X-Men: Apocalypse,6.4,4721
185000000,Drama,dc comics,en,DC Comics,16-07-08,GB,152,1004558444,Released,The Dark Knight,8.2,12002
175000000,Animation,age difference,en,Pixar Animation Studios,13-05-09,US,96,735099082,Released,Up,7.7,6870
175000000,Animation,alien,en,DreamWorks Animation,19-03-09,US,94,381509870,Released,Monsters vs Aliens,6,1423
140000000,Action,middle east,en,Marvel Studios,30-04-08,US,126,585174222,Released,Iron Man,7.4,8776
170000000,Adventure,library,en,Paramount Pictures,22-11-11,FR,126,185770160,Released,Hugo,7,2141
170000000,Action,steampunk,en,Todman,29-06-99,US,106,222104681,Released,Wild Wild West,5.1,1020
145000000,Adventure,,en,Universal Pictures,01-07-08,DE,112,401128639,Released,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,Action,dc comics,en,DC Comics,02-08-16,US,123,745000000,Released,Suicide Squad,5.9,7458
175000000,Fantasy,father son relationship,en,Columbia Pictures,09-06-07,US,96,173000000,Released,Evan Almighty,5.3,1151
178000000,Action,deja vu,en,Village Roadshow Pictures,27-05-14,AU,113,370541256,Released,Edge of Tomorrow,7.6,4858
175000000,Adventure,ocean,en,Universal Pictures,28-07-95,US,135,264218220,Released,Waterworld,5.9,992
175000000,Adventure,terrorist,en,Paramount Pictures,04-08-09,CZ,118,302469017,Released,G.I. Joe: The Rise of Cobra,5.6,1962
175000000,Drama,dream,en,Walt Disney Pictures,09-06-15,US,94,857611174,Released,Inside Out,8,6560
175000000,Family,based on novel,en,Walt Disney Pictures,07-04-16,GB,106,966550600,Released,The Jungle Book,6.7,2892
200000000,Adventure,malibu,en,Marvel Studios,28-04-10,US,124,623933331,Released,Iron Man 2,6.6,6849
170000000,Adventure,queen,en,Universal Pictures,30-05-12,US,127,396600000,Released,Snow White and the Huntsman,5.8,3118
180000000,Fantasy,fairy tale,en,Walt Disney Pictures,28-05-14,US,97,758539785,Released,Maleficent,7,4496
170000000,Science Fiction,leader,en,Ingenious Media,26-06-14,US,130,710644566,Released,Dawn of the Planet of the Apes,7.3,4410
27000000,Action,,en,Corsan,13-02-15,AU,109,0,Released,The Lovers,4.8,34
175000000,Drama,japan,en,Mid Atlantic Films,06-12-13,US,119,150962475,Released,47 Ronin,5.9,1326
170000000,Action,washington d.c.,en,Marvel Studios,20-03-14,US,136,714766572,Released,Captain America: The Winter Soldier,7.6,5764
165000000,Comedy,ogre,en,DreamWorks Animation,16-05-10,US,93,752600867,Released,Shrek Forever After,6,1959
190000000,Adventure,inventor,en,Walt Disney Pictures,19-05-15,US,130,209154322,Released,Tomorrowland,6.2,2846
165000000,Adventure,brother brother relationship,en,Walt Disney Pictures,24-10-14,US,102,652105443,Released,Big Hero 6,7.8,6135
165000000,Family,support group,en,Walt Disney Animation Studios,01-11-12,US,108,471222889,Released,Wreck-It Ralph,7.1,4570
165000000,Adventure,santa claus,en,Golden Mean,10-11-04,US,100,305875730,Released,The Polar Express,6.4,1474
165000000,Action,alternate history,en,Twentieth Century Fox Film Corporation,22-06-16,US,120,389681935,Released,Independence Day: Resurgence,4.9,2491
165000000,Fantasy,flying,en,DreamWorks Animation,05-03-10,US,98,494878759,Released,How to Train Your Dragon,7.5,4227
200000000,Action,saving the world,en,Columbia Pictures,02-07-03,DE,109,435000000,Released,Terminator 3: Rise of the Machines,5.9,2143
170000000,Action,marvel comic,en,Marvel Studios,30-07-14,GB,121,773328629,Released,Guardians of the Galaxy,7.9,9742
165000000,Adventure,saving the world,en,Paramount Pictures,05-11-14,CA,169,675120017,Released,Interstellar,8.1,10867
160000000,Action,loss of lover,en,Legendary Pictures,14-07-10,GB,148,825532764,Released,Inception,8.1,13752
15000000,Action,monster,ja,Cine Bazar,29-07-16,JP,120,77000000,Released,Shin Godzilla,6.5,143
250000000,Adventure,riddle,en,WingNut Films,26-11-12,NZ,169,1021103568,Released,The Hobbit: An Unexpected Journey,7,8297
38000000,Action,street gang,en,Universal Pictures,22-06-01,DE,106,207283925,Released,The Fast and the Furious,6.6,3428
150000000,Fantasy,diary,en,Paramount Pictures,24-11-08,US,166,333932083,Released,The Curious Case of Benjamin Button,7.3,3292
160000000,Action,cia,en,Ingenious Film Partners,24-05-11,US,132,353624124,Released,X-Men: First Class,7.1,5181
160000000,Action,revolution,en,Studio Babelsberg,18-11-15,DE,137,653428261,Released,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,Fantasy,witch,en,Walt Disney Pictures,13-07-10,US,109,215283742,Released,The Sorcerer's Apprentice,5.8,1470
160000000,Adventure,new year's eve,en,Virtual Studios,12-05-06,US,99,181674817,Released,Poseidon,5.5,583
170000000,Fantasy,based on novel,en,Walt Disney Pictures,25-05-16,GB,113,299370084,Released,Alice Through the Looking Glass,6.5,1725
160000000,Fantasy,ambush,en,DreamWorks SKG,17-05-07,US,93,798958165,Released,Shrek the Third,6,2278
160000000,Action,video game,en,Universal Pictures,25-05-16,CA,123,433677183,Released,Warcraft,6.3,2268
155000000,Science Fiction,saving the world,en,Paramount Pictures,23-06-15,US,126,440603537,Released,Terminator Genisys,5.8,3631
155000000,Adventure,based on novel,en,Dune Entertainment,13-08-10,US,113,415686217,Released,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
140000000,History,nurse,en,Jerry Bruckheimer Films,21-05-01,US,183,449220945,Released,Pearl Harbor,6.6,1791
150000000,Adventure,destroy,en,Paramount Pictures,27-06-07,US,144,709709780,Released,Transformers,6.6,4040
155000000,War,aristotle,en,France 3 Cin\u00e9ma,21-11-04,FR,175,167298192,Released,Alexander,5.6,927
150000000,Adventure,prophecy,en,Warner Bros.,28-06-07,GB,138,938212738,Released,Harry Potter and the Order of the Phoenix,7.4,5494
150000000,Adventure,magic,en,Patalex IV Productions Limited,05-11-05,GB,157,895921036,Released,Harry Potter and the Goblet of Fire,7.5,5608
150000000,Fantasy,flying,en,Columbia Pictures,01-07-08,US,92,624029371,Released,Hancock,6.2,2961
150000000,Drama,saving the world,en,Village Roadshow Pictures,14-12-07,US,101,585349010,Released,I Am Legend,6.9,4853
150000000,Adventure,london england,en,Village Roadshow Pictures,13-07-05,AU,115,474968763,Released,Charlie and the Chocolate Factory,6.7,3624
150000000,Animation,paris,en,Walt Disney Pictures,22-06-07,US,111,623722818,Released,Ratatouille,7.5,4369
150000000,Action,himalaya,en,DC Comics,10-06-05,GB,140,374218673,Released,Batman Begins,7.5,7359
150000000,Family,africa,en,DreamWorks Animation,30-10-08,US,89,603900354,Released,Madagascar: Escape 2 Africa,6.2,1810
150000000,Adventure,museum,en,Twentieth Century Fox Film Corporation,20-05-09,US,105,413106170,Released,Night at the Museum: Battle of the Smithsonian,5.9,1971
150000000,Adventure,corruption,en,Ingenious Film Partners,28-04-09,US,107,373062864,Released,X-Men Origins: Wolverine,6.2,4021
150000000,Adventure,saving the world,en,Village Roadshow Pictures,05-11-03,US,129,424988211,Released,The Matrix Revolutions,6.4,3096
150000000,Animation,queen,en,Walt Disney Pictures,27-11-13,US,102,1274219009,Released,Frozen,7.3,5295
150000000,Adventure,saving the world,en,Village Roadshow Pictures,15-05-03,AU,138,738599701,Released,The Matrix Reloaded,6.7,3443
170000000,Action,marvel comic,en,Marvel Studios,29-10-13,US,112,644571402,Released,Thor: The Dark World,6.8,4755
150000000,Action,future,en,Village Roadshow Pictures,13-05-15,AU,120,378858340,Released,Mad Max: Fury Road,7.2,9427
150000000,Thriller,rome,en,Columbia Pictures,13-05-09,IT,138,356613439,Released,Angels & Demons,6.5,2129
150000000,Adventure,new mexico,en,Marvel Studios,21-04-11,US,115,449326618,Released,Thor,6.6,6525
150000000,Animation,hamster,en,Walt Disney Animation Studios,21-11-08,US,98,309979994,Released,Bolt,6.3,1750
150000000,Fantasy,dyr,en,Walt Disney Pictures,21-07-09,US,88,292817841,Released,G-Force,5.1,510
150000000,Adventure,underworld,en,Legendary Pictures,27-03-12,ES,99,301000000,Released,Wrath of the Titans,5.5,1431
150000000,Comedy,witch,en,Village Roadshow Pictures,08-05-12,AU,113,245527149,Released,Dark Shadows,5.7,2320
150000000,Action,london england,en,Paramount Pictures,23-07-15,CN,131,682330139,Released,Mission: Impossible - Rogue Nation,7.1,3224
150000000,Drama,father son relationship,en,Universal Pictures,11-02-10,US,102,0,Released,The Wolfman,5.5,549
150000000,Family,factory worker,en,Pacific Data Images (PDI),28-10-07,US,91,287594577,Released,Bee Movie,5.7,1171
150000000,Animation,martial arts,en,DreamWorks Animation,25-05-11,US,91,665692281,Released,Kung Fu Panda 2,6.7,1880
150000000,Action,fire,en,Paramount Pictures,30-06-10,US,103,318502923,Released,The Last Airbender,4.7,1151
150000000,Adventure,berlin,en,Paramount Pictures,03-05-06,CN,126,397850012,Released,Mission: Impossible III,6.5,2028
150000000,Action,usa president,en,Columbia Pictures,27-06-13,US,131,205366737,Released,White House Down,6.4,1891
150000000,Adventure,boy,en,Walt Disney Animation Studios,09-03-11,US,88,38992758,Released,Mars Needs Moms,5.5,199
149000000,Adventure,london england,en,Aardman Animations,22-10-06,GB,85,64459316,Released,Flushed Away,6,874
150000000,Adventure,flying,en,Warner Bros.,24-09-15,US,111,128388320,Released,Pan,5.9,954
145000000,Animation,father son relationship,en,Pacific Data Images (PDI),07-02-14,US,92,272912430,Released,Mr. Peabody & Sherman,6.7,843
175000000,Adventure,brother brother relationship,en,Plan B Entertainment,13-05-04,US,163,497409852,Released,Troy,6.9,2759
145000000,Animation,madagascar,en,DreamWorks Animation,06-06-12,US,93,746921274,Released,Madagascar 3: Europe's Most Wanted,6.4,1808
140000000,Adventure,laser,en,Eon Productions,17-11-02,GB,133,431971116,Released,Die Another Day,5.8,1092
144000000,Action,female friendship,en,Columbia Pictures,14-07-16,US,116,229147509,Released,Ghostbusters,5.3,2142
140000000,Action,saving the world,en,Jerry Bruckheimer Films,01-07-98,US,151,553799566,Released,Armageddon,6.4,2482
140000000,Action,saving the world,en,Columbia Pictures,03-07-02,US,88,441818803,Released,Men in Black II,6,3114
70000000,Adventure,denmark,en,Paramount Pictures,05-11-07,US,115,195735876,Released,Beowulf,5.5,841
145000000,Action,china,en,Twentieth Century Fox Film Corporation,23-01-16,CN,95,521170825,Released,Kung Fu Panda 3,6.7,1603
145000000,Action,fight,en,Paramount Pictures,07-12-11,CZ,133,694713380,Released,Mission: Impossible - Ghost Protocol,6.8,3972
145000000,Fantasy,dream,en,DreamWorks Animation,21-11-12,US,97,306941670,Released,Rise of the Guardians,7.1,1922
100000000,Comedy,based on novel,en,Imagine Entertainment,21-12-05,US,90,202026112,Released,Fun with Dick and Jane,5.9,627
140000000,Drama,japan,en,Cruise/Wagner Productions,05-12-03,JP,154,456758981,Released,The Last Samurai,7.3,1895
140000000,Adventure,moses,en,Scott Free Productions,03-12-14,ES,150,268031828,Released,Exodus: Gods and Kings,5.6,1921
150000000,Science Fiction,spacecraft,en,Paramount Pictures,06-05-09,DE,127,385680446,Released,Star Trek,7.4,4518
139000000,Fantasy,loss of lover,en,Columbia Pictures,01-05-02,US,121,821708551,Released,Spider-Man,6.8,5265
145000000,Fantasy,father son relationship,en,DreamWorks Animation,12-06-14,US,102,609123048,Released,How to Train Your Dragon 2,7.6,3106
140000000,Fantasy,egypt,en,Summit Entertainment,25-02-16,AU,127,150680864,Released,Gods of Egypt,5.3,1277
135000000,Action,artificial intelligence,en,Laura Ziskin Productions,28-07-05,US,121,76932943,Released,Stealth,4.9,331
130000000,Action,dc comics,en,Paramount Pictures,05-03-09,US,163,185258983,Released,Watchmen,7,2811
140000000,Action,lapd,en,Silver Pictures,10-07-98,US,127,285444603,Released,Lethal Weapon 4,6.3,767
137000000,Drama,california,en,Universal Pictures,19-06-03,US,138,245360480,Released,Hulk,5.3,1533
130000000,Adventure,terror,en,Paramount Pictures,26-03-13,US,110,371876278,Released,G.I. Joe: Retaliation,5.4,3025
130000000,Action,tyrant,en,Paramount Pictures,06-04-05,DE,124,119269486,Released,Sahara,5.7,434
137000000,Adventure,battle assignment,en,Columbia Pictures,02-07-01,JP,106,85131830,Released,Final Fantasy: The Spirits Within,5.9,433
140000000,Action,new york,en,Marvel Studios,22-07-11,US,124,370569774,Released,Captain America: The First Avenger,6.6,7047
135000000,Adventure,british,en,Eon Productions,08-11-99,GB,128,361832400,Released,The World Is Not Enough,6,862
150000000,Adventure,naturalist,en,Universal Pictures,14-11-03,US,138,212011111,Released,Master and Commander: The Far Side of the World,6.9,790
120000000,Adventure,vampire,en,Summit Entertainment,13-11-12,US,115,829000000,Released,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
130000000,Animation,penguin,en,Village Roadshow Pictures,17-11-11,AU,100,150406466,Released,Happy Feet Two,5.8,373
150000000,Science Fiction,new york,en,Universal Pictures,12-06-08,US,114,163712074,Released,The Incredible Hulk,6.1,3021
140000000,Adventure,london england,en,Walt Disney Pictures,01-06-16,IN,120,183345589,Released,The BFG,6,1000
135000000,Western,father son relationship,en,Regency Enterprises,25-12-15,CA,156,532950503,Released,The Revenant,7.3,6396
135000000,Animation,underdog,en,DreamWorks Animation,11-07-13,US,96,282570682,Released,Turbo,6.1,1074
135000000,Animation,sheriff,en,Paramount Pictures,02-03-11,US,107,245724603,Released,Rango,6.6,2051
132000000,Family,penguin,en,DreamWorks Animation,22-11-14,US,92,373552094,Released,Penguins of Madagascar,6.5,1346
70000000,Action,paris,en,Universal Pictures,03-08-07,DE,115,442824138,Released,The Bourne Ultimatum,7.3,2888
130000000,Adventure,china,en,DreamWorks Animation,04-06-08,US,90,631744560,Released,Kung Fu Panda,6.9,3145
130000000,Science Fiction,marvel comic,en,Marvel Studios,14-07-15,US,117,519311965,Released,Ant-Man,7,5880
130000000,Adventure,competition,en,Lionsgate,15-11-13,US,146,847423452,Released,The Hunger Games: Catching Fire,7.4,6495
135000000,Fantasy,friendship,en,Twentieth Century Fox Film Corporation,18-03-15,US,94,368871007,Released,Home,6.8,1519
132000000,Adventure,post traumatic stress  disorder,en,Paramount Pictures,28-06-05,US,116,591739379,Released,War of the Worlds,6.2,2322
130000000,Adventure,miami,en,Columbia Pictures Corporation,18-07-03,US,147,273339556,Released,Bad Boys II,6.3,1564
130000000,Action,adventure,en,DreamWorks,28-10-11,US,90,554987477,Released,Puss in Boots,6.4,451
110000000,Action,assassination,en,Columbia Pictures,21-07-10,US,100,293329073,Released,Salt,6.2,2093
125000000,Drama,bible,en,Paramount Pictures,20-03-14,US,139,362637473,Released,Noah,5.6,2350
130000000,Adventure,riddle,en,Paramount Pictures,25-10-11,NZ,107,371940071,Released,The Adventures of Tintin,6.7,2061
130000000,Adventure,flying,en,1492 Pictures,31-05-04,GB,141,789804554,Released,Harry Potter and the Prisoner of Azkaban,7.7,5877
130000000,Drama,missionary,en,Bazmark Films,18-11-08,AU,165,49554002,Released,Australia,6.3,694
130000000,Science Fiction,dystopia,en,Columbia Pictures,30-05-13,US,100,243843127,Released,After Earth,5,2532
127500000,Animation,cataclysm,en,Walt Disney Pictures,19-05-00,US,82,354248063,Released,Dinosaur,6.2,542
127000000,Adventure,night watchman,en,Twentieth Century Fox Film Corporation,17-12-14,GB,97,349424282,Released,Night at the Museum: Secret of the Tomb,6.1,1851
130000000,Animation,saving the world,en,DreamWorks Animation,28-10-10,US,95,321887208,Released,Megamind,6.7,1918
125000000,Adventure,witch,en,1492 Pictures,16-11-01,GB,152,976475550,Released,Harry Potter and the Philosopher's Stone,7.5,7006
130000000,Fantasy,gold,en,Universal Pictures,18-07-13,US,96,61648500,Released,R.I.P.D.,5.4,1260
140000000,Adventure,exotic island,en,Walt Disney Pictures,09-07-03,US,143,655011224,Released,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
125000000,Science Fiction,resistance,en,Lionsgate,18-11-14,US,123,752100229,Released,The Hunger Games: Mockingjay - Part 1,6.6,5584
125000000,Thriller,paris,en,Columbia Pictures,17-05-06,US,149,767820459,Released,The Da Vinci Code,6.5,2704
103000000,Animation,bird,en,Blue Sky Studios,19-03-14,US,102,500188435,Released,Rio 2,6.3,978
110000000,Adventure,mutant,en,Twentieth Century Fox Film Corporation,24-04-03,US,133,407711549,Released,X2,6.8,3506
125000000,Action,brazil,en,Universal Pictures,20-04-11,US,130,626137675,Released,Fast Five,7.1,2438
125000000,Adventure,detective inspector,en,Village Roadshow Pictures,22-11-11,US,129,334615000,Released,Sherlock Holmes: A Game of Shadows,7,3886
125000000,Adventure,hades,en,The Zanuck Company,01-04-10,US,106,232713139,Released,Clash of the Titans,5.6,2233
65000000,Action,oxygen,en,TriStar Pictures,01-06-90,US,113,261317921,Released,Total Recall,7.1,1710
160000000,Adventure,witch,en,Touchstone Pictures,27-08-99,US,102,61698899,Released,The 13th Warrior,6.4,510
130000000,Action,assassin,en,Universal Pictures,08-08-12,US,120,276572938,Released,The Bourne Legacy,6,2651
125000000,Action,double life,en,PolyGram Filmed Entertainment,20-06-97,GB,125,238207122,Released,Batman & Robin,4.2,1418
123000000,Family,holiday,en,Imagine Entertainment,17-11-00,DE,104,345141403,Released,How the Grinch Stole Christmas,6.2,1386
125000000,Action,saving the world,en,Lions Gate Films,26-05-04,US,124,544272402,Released,The Day After Tomorrow,6.2,2392
125000000,Adventure,terror,en,Paramount Pictures,24-05-00,DE,123,546388105,Released,Mission: Impossible II,5.9,1928
120000000,Drama,u.s. air force,en,Warner Bros.,15-03-00,US,130,325756637,Released,The Perfect Storm,6.2,597
130000000,Adventure,fire,en,Ingenious Film Partners,13-06-07,DE,92,289047763,Released,Fantastic 4: Rise of the Silver Surfer,5.4,2589
120000000,Adventure,ocean,en,Ingenious Film Partners,20-11-12,US,127,609016565,Released,Life of Pi,7.2,5797
110000000,Thriller,mephisto,en,Columbia Pictures Corporation,16-02-07,US,114,228738393,Released,Ghost Rider,5.2,1712
120000000,Action,assassin,en,The Kennedy/Marshall Company,27-07-16,GB,123,415484914,Released,Jason Bourne,5.9,2341
120000000,Action,robbery,en,Columbia Pictures,27-06-03,US,106,259175788,Released,Charlie's Angels: Full Throttle,5.2,914
130000000,Science Fiction,android,en,Twentieth Century Fox Film Corporation,30-05-12,GB,124,403170142,Released,Prometheus,6.3,5080
120000000,Family,mouse,en,Columbia Pictures,19-07-02,US,78,169956806,Released,Stuart Little 2,5.4,613
115000000,Science Fiction,dystopia,en,TriStar Pictures,07-08-13,US,109,286140700,Released,Elysium,6.4,3439
105000000,Action,prison,en,One Race Films,11-06-04,US,119,115772733,Released,The Chronicles of Riddick,6.3,1570
120000000,Action,cyborg,en,Columbia Pictures,30-01-14,CA,102,242688965,Released,RoboCop,5.7,2342
120000000,Action,car race,en,Village Roadshow Pictures,09-05-08,AU,135,93945766,Released,Speed Racer,5.7,354
120000000,Comedy,love triangle,en,Columbia Pictures,17-12-10,US,121,48668907,Released,How Do You Know,4.9,223
117000000,Action,spy,en,Tree Line Films,15-06-10,US,109,261930431,Released,Knight and Day,5.9,1547
120000000,Action,spacecraft,en,Universal Pictures,10-04-13,US,124,286168572,Released,Oblivion,6.4,4800
113000000,Science Fiction,showdown,en,Lucasfilm,17-05-05,US,140,850000000,Released,Star Wars: Episode III - Revenge of the Sith,7.1,4116
120000000,Adventure,senate,en,Lucasfilm,15-05-02,US,142,649398328,Released,Star Wars: Episode II - Attack of the Clones,6.4,3992
115000000,Animation,monster,en,Walt Disney Pictures,01-11-01,US,92,562816256,Released,"Monsters, Inc.",7.5,5996
120000000,Action,japan,en,Twentieth Century Fox Film Corporation,23-07-13,GB,126,415440673,Released,The Wolverine,6.3,4053
115000000,Adventure,prophecy,en,Lucasfilm,19-05-99,US,136,924317558,Released,Star Wars: Episode I - The Phantom Menace,6.3,4432
135000000,Adventure,stone age,en,DreamWorks Animation,20-03-13,US,98,585178928,Released,The Croods,6.8,2399
97250400,Fantasy,competition,fr,Constantin Film,13-01-08,BE,116,132900000,Released,Asterix at the Olympic Games,5,471
115000000,Drama,japan,en,Lion Rock Productions,14-06-02,US,134,77628265,Released,Windtalkers,5.8,341
